sealID,Latitude,Longitude
5,49.5134,-124.5711
5,49.5137,-124.5699
5,49.5135,-124.5698
5,49.5134,-124.5696
5,49.7396,-124.6368
5,49.7402,-124.6362
5,49.7398,-124.6372
5,49.7397,-124.6371
5,49.7399,-124.637
5,49.7402,-124.6363
5,49.8145,-124.6598
5,49.8147,-124.6596
5,49.8146,-124.6602
5,49.8372,-124.6685
5,49.8402,-124.6996
5,49.8396,-124.6995
5,49.8406,-124.7025
5,49.8401,-124.6994
5,49.8397,-124.6995
5,49.8397,-124.6994
5,49.8404,-124.6994
5,49.8395,-124.6993
5,49.8395,-124.6991
5,49.8395,-124.6996
5,49.8395,-124.6998
5,49.8393,-124.6993
5,49.8401,-124.6994
5,49.84,-124.6997
5,49.8399,-124.7
5,49.8399,-124.6994
5,49.84,-124.6995
5,49.8399,-124.6996
5,49.8399,-124.6997
5,49.8404,-124.6994
5,49.8405,-124.6996
5,49.8399,-124.6995
5,49.8398,-124.6996
5,49.8402,-124.6996
5,49.8397,-124.6996
5,49.8399,-124.6995
5,49.8397,-124.6995
5,49.8396,-124.6997
5,49.8398,-124.6995
5,49.8394,-124.6995
5,49.8395,-124.6997
5,49.8396,-124.6996
5,49.8397,-124.6994
5,49.8398,-124.6994
5,49.8142,-124.6594
5,49.8139,-124.6594
5,49.8139,-124.6593
5,49.8139,-124.6593
5,49.8138,-124.6591
5,49.8146,-124.6602
5,49.8143,-124.6596
5,49.8145,-124.6594
5,49.8146,-124.6597
5,49.8145,-124.6595
5,49.8141,-124.6592
5,49.814,-124.6592
5,49.8139,-124.6593
5,49.8138,-124.6592
5,49.814,-124.6592
5,49.8143,-124.6593
5,49.8146,-124.6591
5,49.8146,-124.6593
5,49.8146,-124.6598
5,49.814,-124.6603
5,49.8143,-124.66
5,49.8135,-124.6607
5,49.8144,-124.6597
5,49.814,-124.6592
5,49.8139,-124.6594
5,49.8143,-124.6591
5,49.813,-124.6594
5,49.8141,-124.6601
5,49.8144,-124.6603
5,49.8138,-124.6603
5,49.7696,-124.3324
5,49.7688,-124.3324
5,49.7666,-124.3175
5,49.7436,-124.2922
5,49.7074,-124.3136
5,49.705,-124.299
5,49.7029,-124.2841
5,49.6987,-124.2705
5,49.6946,-124.2606
5,49.6867,-124.2455
5,49.6796,-124.2321
5,49.6717,-124.2231
5,49.6343,-124.1484
5,49.6281,-124.1312
5,49.6181,-124.1107
5,49.6124,-124.099
5,49.6072,-124.0921
5,49.5652,-124.0471
5,49.5454,-124.0258
5,49.5377,-124.0091
5,49.5311,-123.9887
5,49.5268,-123.9844
5,49.5226,-123.9825
5,49.4764,-123.9086
5,49.4677,-123.89
5,49.4641,-123.8842
5,49.4629,-123.8821
5,49.4592,-123.8725
5,49.4575,-123.8685
5,49.4332,-123.7164
5,49.4293,-123.7033
5,49.4274,-123.6962
5,49.425,-123.6896
5,49.4234,-123.6835
5,49.4215,-123.6775
5,49.4191,-123.6731
5,49.4156,-123.6672
5,49.4085,-123.6521
5,49.408,-123.6501
5,49.4086,-123.646
5,49.2302,-123.9167
5,49.2302,-123.9168
5,49.2881,-124.0721
5,49.2902,-124.0743
5,49.2922,-124.0792
5,49.2929,-124.0807
5,49.2934,-124.0821
5,49.2931,-124.0824
5,49.2932,-124.0824
5,49.293,-124.0821
5,49.2912,-124.0833
5,49.2929,-124.082
5,49.2925,-124.0822
5,49.2932,-124.0832
5,49.2932,-124.083
5,49.2934,-124.083
5,49.2933,-124.0831
5,49.2922,-124.0853
5,49.2929,-124.0865
5,49.2924,-124.0853
5,49.2925,-124.0854
5,49.2914,-124.086
5,49.2924,-124.0856
5,49.2923,-124.0854
5,49.2924,-124.0852
5,49.2914,-124.0859
5,49.2927,-124.0802
5,49.293,-124.082
5,49.2928,-124.082
5,49.2932,-124.0816
5,49.2932,-124.082
5,49.2932,-124.0821
5,49.2935,-124.0826
5,49.2929,-124.0822
5,49.2933,-124.0833
5,49.2931,-124.0832
5,49.2923,-124.0852
5,49.2921,-124.0854
5,49.2922,-124.0855
5,49.2935,-124.0883
5,49.2924,-124.0854
5,49.2925,-124.0856
5,49.2922,-124.0854
